path,original,width,height,bytes,sha256,references
docs/images/brand/favicon.ico,docs/images/favicon.ico,1024,1024,78657,1e95541bbb3efdd78c5f0dc8fe0f407153689beb8bfcd9818d0a1d97686f1922,
docs/images/components/queue/queue-loop.jpg,docs/images/components/queue/for.jpg,405,668,41131,7c091229eef2ae258fd8e13cca9cdec36c839b655d943cb37466c76539de2db2,docs/components/queue.md
docs/images/components/queue/queue.jpg,docs/images/components/queue/queue.jpg,1960,868,386571,69872669c9363fcedcc6ba28c96a144b45c6c26c0abbc827a2ab47e47025698b,
docs/images/components/signals-slots/signals-slots.png,docs/images/components/signals_slots/signals_slots.png,1607,170,35590,078d22f56e1e2c0ab5053b3e8ac6938b720bff813e534e8ada8784fe6efda198,
docs/images/embedded-ai/agent-hardware-loop.drawio.png,docs/images/microlink/AI-Agent-Skills-下载器-MCU-闭环.drawio.png,1060,720,138002,05982f837258c52c082a6ee399962da93a402c766d23a027575e75e48d1d97db,
docs/images/embedded-ai/ai-overview.png,docs/images/microlink/AI.png,1024,1536,2056322,0f05ff18b7e91bbdaadb0b7233fdef72730135b8fe90dc0ab362a97b7c36afc5,
docs/images/embedded-ai/claude.png,docs/images/microlink/claude.png,2550,437,157076,59c65ae37d3145f31df14f505500bf35c31ae3e93d07b1c69a9b74be09a53bf0,
docs/images/embedded-ai/codex.png,docs/images/microlink/codex.png,2538,348,146676,92468b1372b06dddd91d3c57ad0109ac8c3a5117eb12b9bda5dbe6a0aca0b95d,
docs/images/embedded-ai/dma-adc-case-01.png,docs/images/microlink/1.png,1418,1436,242744,8a38f081d5a8c3db54074c9a92dac747b324be4d25bd682af3839b751d1f285c,
docs/images/embedded-ai/dma-adc-case-02.png,docs/images/microlink/2.png,1412,1318,195913,77b60014b2ef587abe0877220077c7f6f1b210d26c391cf6fbdf7eab8f66d99d,
docs/images/embedded-ai/hardfault-case-01.jpg,docs/images/microlink/HardFault_1.jpg,1279,1662,166923,5208361c78cc303305d717af0e81e8c677c5d9f7e594ea7caa790beb0472ab38,
docs/images/embedded-ai/hardfault-case-02.jpg,docs/images/microlink/HardFault_2.jpg,1440,3200,481376,2e2f3a0c26febec2a98421bb022a0caa6e2c901069edef9fe797dfe4cecb0e43,
docs/images/embedded-ai/hardfault-case-03.jpg,docs/images/microlink/HardFault_3.jpg,1440,3200,769524,9d7e1aac5bbc27242252d892b8badfb95a0f45298125c49aa08ef4efe4d35e9f,
docs/images/knowledge/firmware-transfer-flow.jpg,docs/images/microlink/data_flow.jpg,991,262,16632,038089bfa14714de5db0ea0362f81978bc7c547a02ec2509c4ba26072186348e,
docs/images/knowledge/usb/descriptor-hierarchy.jpg,docs/images/USB_4.jpg,1194,697,231552,874bfaef1be17c64edba615383f7e36db32cc75faaea28a20fea10781ffed1c3,
docs/images/knowledge/usb/enumeration-sequence.png,docs/images/USB_3.png,692,544,70095,4a1adbcd42de113fb8884ec20c4a8ff34da10356ee48c5fb008eaa1958bb07c6,
docs/images/knowledge/usb/packet-transaction-transfer.png,docs/images/USB_2.png,1110,711,95949,594af81d5404f76f6addce7fe7e881263d0b33ea4ce74352ea7ec67916c8fa53,
docs/images/knowledge/usb/topology-tiers.jpg,docs/images/USB_1.jpg,840,676,202844,3e16b11135bd69fe8b7b5eba36b4ebb60735aed0ab8a21f10a844e175053ebf8,
